Adj	Adjective
V-AMA-3P	Verb - Aorist Imperative Active - 3rd Person Plural
V-AMA-3S	Verb - Aorist Imperative Active - 3rd Person Singular
V-AMM-2P	Verb - Aorist Imperative Middle - 2nd Person Plural
V-AMM-2S	Verb - Aorist Imperative Middle - 2nd Person Singular
V-AMM-3P	Verb - Aorist Imperative Middle - 3rd Person Plural
V-AMM-3S	Verb - Aorist Imperative Middle - 3rd Person Singular
V-AMP-2P	Verb - Aorist Imperative Passive - 2nd Person Plural
V-AMP-2S	Verb - Aorist Imperative Passive - 2nd Person Singular
V-AMP-3P	Verb - Aorist Imperative Passive - 3rd Person Plural
V-AMP-3S	Verb - Aorist Imperative Passive - 3rd Person Singular
V-ANA	Verb - Aorist Infinitive Active
V-ANM	Verb - Aorist Infinitive Middle
V-ANM-3S	Verb - Aorist Infinitive Middle - 3rd Person Singular
V-ANM/P	Verb - Aorist Infinitive Middle or Passive
V-ANP	Verb - Aorist Infinitive Passive
V-AOA-3P	Verb - Aorist Optative Active - 3rd Person Plural
V-AOA-3S	Verb - Aorist Optative Active - 3rd Person Singular
V-AOM-1S	Verb - Aorist Optative Middle - 1st Person Singular
V-AOM-3S	Verb - Aorist Optative Middle - 3rd Person Singular
V-AOP-3S	Verb - Aorist Optative Passive - 3rd Person Singular
V-APA-AFP	Verb - Aorist Participle Active - Accusative Feminine Plural
V-APA-AFS	Verb - Aorist Participle Active - Accusative Feminine Singular
V-APA-AMP	Verb - Aorist Participle Active - Accusative Masculine Plural
V-APA-AMS	Verb - Aorist Participle Active - Accusative Masculine Singular
V-APA-ANP	Verb - Aorist Participle Active - Accusative Neuter Plural
V-APA-ANS	Verb - Aorist Participle Active - Accusative Neuter Singular
V-APA-DFP	Verb - Aorist Participle Active - Dative Feminine Plural
V-APA-DFS	Verb - Aorist Participle Active - Dative Feminine Singular
V-APA-DMP	Verb - Aorist Participle Active - Dative Masculine Plural
V-APA-DMS	Verb - Aorist Participle Active - Dative Masculine Singular
V-APA-GFS	Verb - Aorist Participle Active - Genitive Feminine Singular
V-APA-GMP	Verb - Aorist Participle Active - Genitive Masculine Plural
V-APA-GMS	Verb - Aorist Participle Active - Genitive Masculine Singular
V-APA-GNS	Verb - Aorist Participle Active - Genitive Neuter Singular
V-APA-NFP	Verb - Aorist Participle Active - Nominative Feminine Plural
V-APA-NFS	Verb - Aorist Participle Active - Nominative Feminine Singular
V-APA-NMP	Verb - Aorist Participle Active - Nominative Masculine Plural
V-APA-NMS	Verb - Aorist Participle Active - Nominative Masculine Singular
V-APA-NNP	Verb - Aorist Participle Active - Nominative Neuter Plural
V-APA-NNS	Verb - Aorist Participle Active - Nominative Neuter Singular
V-APM-AFS	Verb - Aorist Participle Middle - Accusative Feminine Singular
V-APM-AMP	Verb - Aorist Participle Middle - Accusative Masculine Plural
V-APM-AMS	Verb - Aorist Participle Middle - Accusative Masculine Singular
V-APM-ANP	Verb - Aorist Participle Middle - Accusative Neuter Plural
V-APM-ANS	Verb - Aorist Participle Middle - Accusative Neuter Singular
V-APM-DMP	Verb - Aorist Participle Middle - Dative Masculine Plural
V-APM-DNP	Verb - Aorist Participle Middle - Dative Neuter Plural
V-APM-GFP	Verb - Aorist Participle Middle - Genitive Feminine Plural
V-APM-GFS	Verb - Aorist Participle Middle - Genitive Feminine Singular
V-APM-GMP	Verb - Aorist Participle Middle - Genitive Masculine Plural
V-APM-GMS	Verb - Aorist Participle Middle - Genitive Masculine Singular
V-APM-GNP	Verb - Aorist Participle Middle - Genitive Neuter Plural
V-APM-GNS	Verb - Aorist Participle Middle - Genitive Neuter Singular
V-APM-NFP	Verb - Aorist Participle Middle - Nominative Feminine Plural
V-APM-NFS	Verb - Aorist Participle Middle - Nominative Feminine Singular
V-APM-NMP	Verb - Aorist Participle Middle - Nominative Masculine Plural
V-APM-NMS	Verb - Aorist Participle Middle - Nominative Masculine Singular
V-APM-NNS	Verb - Aorist Participle Middle - Nominative Neuter Singular
V-APM/P-ANP	Verb - Aorist Participle Middle or Passive - Accusative Neuter Plural
V-APM/P-GFS	Verb - Aorist Participle Middle or Passive - Genitive Feminine Singular
V-APM/P-NMS	Verb - Aorist Participle Middle or Passive - Nominative Masculine Singular
V-APP-AFS	Verb - Aorist Participle Passive - Accusative Feminine Singular
V-APP-AMP	Verb - Aorist Participle Passive - Accusative Masculine Plural
V-APP-AMS	Verb - Aorist Participle Passive - Accusative Masculine Singular
V-APP-ANP	Verb - Aorist Participle Passive - Accusative Neuter Plural
V-APP-ANS	Verb - Aorist Participle Passive - Accusative Neuter Singular
V-APP-DFS	Verb - Aorist Participle Passive - Dative Feminine Singular
V-APP-DMS	Verb - Aorist Participle Passive - Dative Masculine Singular
V-APP-DNP	Verb - Aorist Participle Passive - Dative Neuter Plural
V-APP-DNS	Verb - Aorist Participle Passive - Dative Neuter Singular
